COM_CODE,UPC,DESCRIP,SIZE,CASE,NITEM
665,3700096004,SOLO PP $4.99,96 OZ,6,2868861
665,3700096006,SOLO $1.00 OFF,96 OZ,6,2868861
665,3700096018,~SOLO W/BOLD SAMPLE,100 OZ,4,2868901
665,3700096061,~SOLO,100 OZ,4,2868901
665,3700096062,~SOLO,50 OZ,8,2868921
665,3700096063,SOLO REFILL,40 OZ,12,2868941
665,3700097066,LQD CHEER W/CLR GRD,64 OZ,9,2867921
665,3700097071,LQD CHEER W/ COLOR G,128 OZ,4,2867905
665,3700097080,LQ CHEER,50 OZ,8,2867431
665,3700097081,LQ CHEER,100 OZ,4,2867401
665,3700097083,~LQ CHERR REFILL,40 OZ,12,2867461
665,3700097089,CHEER LIQUID REFILL,90 OZ,6,2867561
665,3700097120,LIQUID BOLD $1 OFF,64 OZ,9,2869081
665,3700097138,~BOLD,50 OZ,8,2868651
665,3700097139,LIQUID BOLD,100 OZ,4,2868661
665,3700097148,ÂBOLDREFILL,40 OZ,12,2868661
665,3700097149,~BOLD LIQ REFILL,90 OZ,6,2868671
665,3700097300,LEMON DASH LIQUID,128 OZ,4,2869341
665,3700097305,LIQ. LEM. PP$5.99 DA,128 OZ,4,2869341
665,3700097306,LIQ. LEM. PP$5.69 DA,128 OZ,4,2869341
665,3700097330,LEMON DASH,64 OZ,9,2869321
666,3700097333,LEMON LIQ DASH,64 OZ,9,2869321
665,3700097800,~LIQUID GAIN DETERGE,100 OZ,4,2868631
666,3828128049,DOM 1/4 CUP CONC DET,33 OZ,6,2876601
666,3828128053,DOM CONC LNDRY DET,157 OZ,4,2859551
665,3828128061,~DOM HDL LIQ LNDRY D,64 OZ,9,2868241
665,3828128093,HH WOOLWASH,16 OZ,12,2884481
665,3828128095,HH WOOLWASH,16 OZ,12,2884441
665,3828128099,~DOM WOOLWASH,32 OZ,12,2884511
666,3828128157,HH POWDERED LAUNDRY,42 OZ,14,2873491
665,3828128202,~DOM HD LIQUID LAUDR,128 OZ,4,2868271
665,3828128203,DOM HVY DUTY LIQ LAU,128 OZ,4,2868701
666,3828128237,DOM ULTRA W/BLEACH,46 OZ,10,2866241
666,3828128241,DOM ULTRA DETERGENT,42 OZ,10,2866221
666,3828128245,DOM ULTRA DETERGENT,98 OZ,4,2866261
666,3828128249,DOM ULTRA W/BLEACH,109 OZ,4,2866281
665,3828128285,~DOM ULTRA LIQ AL,32 OZ,12,2868301
665,3828128289,~DOM ULTRA LIQ AL,64 OZ,9,2868311
665,3828128293,~DOM ULTRA LIQ WK,32 OZ,12,2868001
665,3828128297,~DOM ULTRA LIQ WK,64 OZ,9,2868011
665,3828128305,DOM ULTRA LAUNDRY DE,50 OZ,8,2866111
665,3828128309,DOM ULTRA LAUNDRY DE,50 OZ,8,2866121
665,3828128313,~DOM ULTRA LNDRY DET,100 OZ,4,2866131
665,3828128317,DOM ULTRA LAUNDRY DE,100 OZ,4,2866141
665,3828128321,DOM ULTRA LAUNDRY DE,90 OZ,6,2866151
665,3828128325,DOM ULT DETERGENT W/,90 OZ,6,2866161
666,4142830018,GENERIC ALL PURPOSE,32 OZ,12,2859421
666,4142890016,GENERIC ALL PURPOSE,32 OZ,12,2859421
665,4650002256,SHOUT STICK,2.8 OZ,12,2858541
665,4650022256,SHOUT STICK,2.8 OZ,12,2858541
665,4650032256,SHOUT STICK BONUS PA,4.4 OZ,12,2858541
665,4650062257,SHOUT TRIGGER 50% FR,24 OZ,12,2858321
665,4917409705,EARTH FRIENDLY ECOS,64 OZ,8,2850051
665,5170035201,~DELICARE CLD WTR WA,16 OZ,12,2884460
665,5170035205,DELICARE $1.99 PREPR,16 OZ,12,2884460
665,5310035201,DELICARE COLD WATER,16 OZ,12,2884460
665,5460000137,~YES HDLP.P. $5.39,128 OZ,4,2868371
665,5460000152,~YES W/COLORSAFE BLE,64 OZ,6,2868351
665,5460000155,YES W/COLOR SFE BLCH,64 OZ,6,2868351
665,5460000169,YES HDL,96 OZ,4,2868371
665,5460000182,ÂYES HD LIQ W/FAB SO,64 OZ,6,2868361
665,5460000191,YES HDL PP $2.99,64 OZ,6,2868361
665,5460000196,YES HDL PP $4.39,96 OZ,4,2868371
665,5460000660,ULTRA YES PLUS FABRI,50 OZ,9,2867041
665,5460000661,ULT YES FAB SFTNR PP,50 OZ,9,2867021
665,5460000670,ULTRA YES COLOR SAFE,50 OZ,9,2867021
665,5460000671,ULT-YES COLORSFE BLC,50 OZ,9,2867001
665,5460000845,ULT YES FAB SFTNR PP,100 OZ,4,2867031
665,5460000855,ULT YES CLRSF BLEACH,100 OZ,4,2867011
665,5460000860,ULTRA YES PLUS FABRI,100 OZ,4,2867031
665,5460000861,ULT YES FAB SFTNR PP,100 OZ,4,2867031
665,5460000870,ULTRA YES COLOR SAFE,100 OZ,4,2867011
665,5460000871,ULT YES CLRSF BLEACH,100 OZ,4,2867011
665,6233806110,WOOLITE LIQUID,8 OZ,12,2884401
665,6233806130,WOOLITE LIQUID,16 OZ,12,2884451
665,6233806160,WOOLITE LIQUID,32 OZ,9,2884431
666,6233806170,~WOOLITE GENTLE CYCL,14 OZ,12,2884471
665,6233809383,WOOLITE LQD-SPRING S,32 OZ,9,2884421
665,6233882752,WOOLITE HYPO-ALLERGE,2 OZ,72,9828001
665,7506400090,RPC LIQUID LAUNDRY D,64 OZ,8,2868231
665,7527563447,GENERIC LIQ LAUNDRY,64 OZ,9,2868031
666,7572545440,GENERIC ALL PURPOSE,32 OZ,12,2859421
666,7572545451,GENERIC LAUNDRY DETE,157 OZ,4,2858851
665,7572545476,GENERIC LIQ LAUNDRY,64 OZ,9,2868031
665,7610210042,~GENERIC LIQ LAUNDRY,64 OZ,9,2868031
666,7610210803,GENERIC ALL PURPOSE,32 OZ,12,2859421
665,8731354321,SILK N WASH,8 OZ,12,2800150
665,9451400038,XTRA LIQ LAUNDRY DET,128 OZ,160,2868771
665,9451400150,XTRA LAUN DETERG W/B,128 OZ,4,2868781
666,9451400230,XTRA CLASSIC PWDR LA,7 LB,4,2868791
666,20000100000,PUREX POWDERED PP $5,147 OZ,1,9886000
665,74917409705,EARTH FRIENDLY ECOS,64 OZ,8,2850051
